layout,size_bytes,latency_us,algo_bw_gbps,bus_bw_gbps,completed_ok,settings
mac0-linux1,4096,16789.5,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,8192,8106.4,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,16384,6048.6,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,32768,6984.9,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,65536,6299.5,0.080,0.080,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,131072,7300.2,0.160,0.160,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,262144,7132.5,0.320,0.320,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,524288,8234.0,0.480,0.480,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,1048576,8278.9,1.040,1.040,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,2097152,13024.8,1.280,1.280,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
mac0-linux1,4194304,22714.5,1.440,1.440,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,4096,4721.5,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,8192,3999.1,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,16384,3990.9,0.000,0.000,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,32768,4001.0,0.080,0.080,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,65536,4021.8,0.160,0.160,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,131072,4991.8,0.240,0.240,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,262144,5986.2,0.320,0.320,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,524288,3968.8,1.040,1.040,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,1048576,5940.4,1.440,1.440,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,2097152,10891.4,1.520,1.520,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
linux0-mac1,4194304,20753.3,1.600,1.600,1,"tx_frames=1,completion_delay_us=2000,barrier_between_sizes=1"
