layout,size_bytes,latency_us,algo_bw_gbps,bus_bw_gbps,completed_ok,settings
mac0-linux1,65536,5644.1,0.08,0.08,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
mac0-linux1,131072,5801.6,0.16,0.16,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
mac0-linux1,262144,6428.1,0.32,0.32,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
mac0-linux1,524288,6953.0,0.64,0.64,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
mac0-linux1,1048576,7598.5,1.12,1.12,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
mac0-linux1,2097152,12097.5,1.36,1.36,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
mac0-linux1,4194304,21052.9,1.6,1.6,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,65536,4399.9,0.08,0.08,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,131072,4133.3,0.24,0.24,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,262144,4200.2,0.48,0.48,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,524288,4450.3,0.96,0.96,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,1048576,4649.9,1.84,1.84,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,2097152,9350.1,1.76,1.76,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
linux0-mac1,4194304,18250.1,1.84,1.84,1,"tx_frames=1(default),completion_delay_us=1,barrier_between_sizes=1,warmup=3,iters=20,refill_each_iter=1"
