layout,size_bytes,latency_us,algo_bw_gbps,bus_bw_gbps,completed_ok,settings
mac0-linux1,4096,8493.0,0.0,0.0,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,8192,6093.2,0.0,0.0,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,16384,3935.1,0.0,0.0,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,32768,4968.3,0.08,0.08,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,65536,5868.2,0.08,0.08,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,131072,6237.6,0.16,0.16,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,262144,5090.5,0.4,0.4,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,524288,9064.8,0.48,0.48,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,1048576,8084.0,1.04,1.04,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,2097152,9004.3,1.84,1.84,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
mac0-linux1,4194304,14270.6,2.32,2.32,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,4096,4360.6,0.0,0.0,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,8192,4181.9,0.0,0.0,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,16384,4205.1,0.0,0.0,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,32768,4168.0,0.08,0.08,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,65536,4711.1,0.08,0.08,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,131072,4258.6,0.24,0.24,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,262144,3657.8,0.56,0.56,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,524288,4309.4,0.96,0.96,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,1048576,4480.0,1.84,1.84,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,2097152,6188.8,2.72,2.72,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
linux0-mac1,4194304,9942.4,3.36,3.36,1,"tx_frames=1,completion_delay_us=0,barrier_between_sizes=1"
