model,layout,rank,host_count,prompt_tokens,generated_tokens,prompt_tps,output_tok_s,peak_memory_gb,finish
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,0,2,16,16,18.678,9.029,0.192,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,1,2,16,16,20.910,9.096,0.194,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,1,2,16,16,18.406,8.959,0.192,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,0,2,16,16,20.797,8.954,0.194,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,0,2,64,32,55.770,9.338,0.245,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,1,2,64,32,60.879,9.354,0.194,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,1,2,64,32,55.499,9.175,0.245,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,0,2,64,32,60.601,9.203,0.194,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,0,2,128,64,94.017,8.900,0.241,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,1,2,128,64,100.645,8.909,0.196,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,1,2,128,64,95.869,8.884,0.241,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,0,2,128,64,102.863,8.895,0.196,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,0,2,256,128,170.312,9.116,0.285,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,1,2,256,128,183.251,9.120,0.197,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,1,2,256,128,173.645,8.886,0.285,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,0,2,256,128,185.430,8.890,0.197,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,0,2,512,256,230.834,4.368,0.360,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,mac0-linux1,1,2,512,256,235.795,4.366,0.204,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,1,2,512,256,233.743,4.411,0.360,length
/tmp/mlx-lm-qwen2-0.5b-instruct-4bit,linux0-mac1,0,2,512,256,238.943,4.410,0.204,length
