copying 0 paths...
copying 0 paths...
Using Linux HCA usb4_rdma4 and macOS HCA rdma_en3
en3: flags=8863<UP,BROADCAST,SMART,RUNNING,SIMPLEX,MULTICAST> mtu 9000
	options=460<TSO4,TSO6,CHANNEL_IO>
	ether 36:26:af:6d:62:08
	inet 10.0.3.3 netmask 0xffffff00 broadcast 10.0.3.255
	media: autoselect <full-duplex>
	status: active
== lm mac0-linux1 via 192.168.23.73:30020 ==
-- mac output (mac0-linux1 rank 0) --
rank 0/2 backend=jaccl MLX_RANK=0 device=Device(gpu, 0) model=/tmp/mlx-lm-qwen2-0.5b-instruct-4bit
rank 0 sharded_load OK
rank 0 stream generation start prompt_tokens=128 generation_tokens=64
rank 0 generation response tokens=1 finish=None
rank 0 step 0 synchronize start
rank 0 step 0 synchronize OK
rank 0 generation response tokens=2 finish=None
rank 0 step 1 synchronize start
rank 0 step 1 synchronize OK
rank 0 generation response tokens=3 finish=None
rank 0 step 2 synchronize start
rank 0 step 2 synchronize OK
rank 0 generation response tokens=4 finish=None
rank 0 step 3 synchronize start
rank 0 step 3 synchronize OK
rank 0 generation response tokens=5 finish=None
rank 0 step 4 synchronize start
rank 0 step 4 synchronize OK
rank 0 generation response tokens=6 finish=None
rank 0 step 5 synchronize start
rank 0 step 5 synchronize OK
rank 0 generation response tokens=7 finish=None
rank 0 step 6 synchronize start
rank 0 step 6 synchronize OK
rank 0 generation response tokens=8 finish=None
rank 0 step 7 synchronize start
rank 0 step 7 synchronize OK
rank 0 generation response tokens=9 finish=None
rank 0 step 8 synchronize start
rank 0 step 8 synchronize OK
rank 0 generation response tokens=10 finish=None
rank 0 step 9 synchronize start
rank 0 step 9 synchronize OK
rank 0 generation response tokens=11 finish=None
rank 0 step 10 synchronize start
rank 0 step 10 synchronize OK
rank 0 generation response tokens=12 finish=None
rank 0 step 11 synchronize start
rank 0 step 11 synchronize OK
rank 0 generation response tokens=13 finish=None
rank 0 step 12 synchronize start
rank 0 step 12 synchronize OK
rank 0 generation response tokens=14 finish=None
rank 0 step 13 synchronize start
rank 0 step 13 synchronize OK
rank 0 generation response tokens=15 finish=None
rank 0 step 14 synchronize start
rank 0 step 14 synchronize OK
rank 0 generation response tokens=16 finish=None
rank 0 step 15 synchronize start
rank 0 step 15 synchronize OK
rank 0 generation response tokens=17 finish=None
rank 0 step 16 synchronize start
rank 0 step 16 synchronize OK
rank 0 generation response tokens=18 finish=None
rank 0 step 17 synchronize start
rank 0 step 17 synchronize OK
rank 0 generation response tokens=19 finish=None
rank 0 step 18 synchronize start
rank 0 step 18 synchronize OK
rank 0 generation response tokens=20 finish=None
rank 0 step 19 synchronize start
rank 0 step 19 synchronize OK
rank 0 generation response tokens=21 finish=None
rank 0 step 20 synchronize start
rank 0 step 20 synchronize OK
rank 0 generation response tokens=22 finish=None
rank 0 step 21 synchronize start
rank 0 step 21 synchronize OK
rank 0 generation response tokens=23 finish=None
rank 0 step 22 synchronize start
rank 0 step 22 synchronize OK
rank 0 generation response tokens=24 finish=None
rank 0 step 23 synchronize start
rank 0 step 23 synchronize OK
rank 0 generation response tokens=25 finish=None
rank 0 step 24 synchronize start
rank 0 step 24 synchronize OK
rank 0 generation response tokens=26 finish=None
rank 0 step 25 synchronize start
rank 0 step 25 synchronize OK
rank 0 generation response tokens=27 finish=None
rank 0 step 26 synchronize start
rank 0 step 26 synchronize OK
rank 0 generation response tokens=28 finish=None
rank 0 step 27 synchronize start
rank 0 step 27 synchronize OK
rank 0 generation response tokens=29 finish=None
rank 0 step 28 synchronize start
rank 0 step 28 synchronize OK
rank 0 generation response tokens=30 finish=None
rank 0 step 29 synchronize start
rank 0 step 29 synchronize OK
rank 0 generation response tokens=31 finish=None
rank 0 step 30 synchronize start
rank 0 step 30 synchronize OK
rank 0 generation response tokens=32 finish=None
rank 0 step 31 synchronize start
rank 0 step 31 synchronize OK
rank 0 generation response tokens=33 finish=None
rank 0 step 32 synchronize start
rank 0 step 32 synchronize OK
rank 0 generation response tokens=34 finish=None
rank 0 step 33 synchronize start
rank 0 step 33 synchronize OK
rank 0 generation response tokens=35 finish=None
rank 0 step 34 synchronize start
rank 0 step 34 synchronize OK
rank 0 generation response tokens=36 finish=None
rank 0 step 35 synchronize start
rank 0 step 35 synchronize OK
rank 0 generation response tokens=37 finish=None
rank 0 step 36 synchronize start
rank 0 step 36 synchronize OK
rank 0 generation response tokens=38 finish=None
rank 0 step 37 synchronize start
rank 0 step 37 synchronize OK
rank 0 generation response tokens=39 finish=None
rank 0 step 38 synchronize start
rank 0 step 38 synchronize OK
rank 0 generation response tokens=40 finish=None
rank 0 step 39 synchronize start
rank 0 step 39 synchronize OK
rank 0 generation response tokens=41 finish=None
rank 0 step 40 synchronize start
rank 0 step 40 synchronize OK
rank 0 generation response tokens=42 finish=None
rank 0 step 41 synchronize start
rank 0 step 41 synchronize OK
rank 0 generation response tokens=43 finish=None
rank 0 step 42 synchronize start
rank 0 step 42 synchronize OK
rank 0 generation response tokens=44 finish=None
rank 0 step 43 synchronize start
rank 0 step 43 synchronize OK
rank 0 generation response tokens=45 finish=None
rank 0 step 44 synchronize start
rank 0 step 44 synchronize OK
rank 0 generation response tokens=46 finish=None
rank 0 step 45 synchronize start
rank 0 step 45 synchronize OK
rank 0 generation response tokens=47 finish=None
rank 0 step 46 synchronize start
rank 0 step 46 synchronize OK
rank 0 generation response tokens=48 finish=None
rank 0 step 47 synchronize start
rank 0 step 47 synchronize OK
rank 0 generation response tokens=49 finish=None
rank 0 step 48 synchronize start
rank 0 step 48 synchronize OK
rank 0 generation response tokens=50 finish=None
rank 0 step 49 synchronize start
rank 0 step 49 synchronize OK
rank 0 generation response tokens=51 finish=None
rank 0 step 50 synchronize start
rank 0 step 50 synchronize OK
rank 0 generation response tokens=52 finish=None
rank 0 step 51 synchronize start
rank 0 step 51 synchronize OK
rank 0 generation response tokens=53 finish=None
rank 0 step 52 synchronize start
rank 0 step 52 synchronize OK
rank 0 generation response tokens=54 finish=None
rank 0 step 53 synchronize start
rank 0 step 53 synchronize OK
rank 0 generation response tokens=55 finish=None
rank 0 step 54 synchronize start
rank 0 step 54 synchronize OK
rank 0 generation response tokens=56 finish=None
rank 0 step 55 synchronize start
rank 0 step 55 synchronize OK
rank 0 generation response tokens=57 finish=None
rank 0 step 56 synchronize start
rank 0 step 56 synchronize OK
rank 0 generation response tokens=58 finish=None
rank 0 step 57 synchronize start
rank 0 step 57 synchronize OK
rank 0 generation response tokens=59 finish=None
rank 0 step 58 synchronize start
rank 0 step 58 synchronize OK
rank 0 generation response tokens=60 finish=None
rank 0 step 59 synchronize start
rank 0 step 59 synchronize OK
rank 0 generation response tokens=61 finish=None
rank 0 step 60 synchronize start
rank 0 step 60 synchronize OK
rank 0 generation response tokens=62 finish=None
rank 0 step 61 synchronize start
rank 0 step 61 synchronize OK
rank 0 generation response tokens=63 finish=None
rank 0 step 62 synchronize start
rank 0 step 62 synchronize OK
rank 0 generation response tokens=64 finish=length
rank 0 step 63 synchronize start
rank 0 step 63 synchronize OK
libc++abi: terminating due to uncaught exception of type std::runtime_error: [METAL] Command buffer execution failed: Caused GPU Timeout Error (00000002:kIOGPUCommandBufferCallbackErrorTimeout)
-- linux output (mac0-linux1 rank 1) --
[jaccl] Connection attempt 0 waiting 1000 ms
rank 1/2 backend=jaccl MLX_RANK=1 device=Device(gpu, 0) model=/tmp/mlx-lm-qwen2-0.5b-instruct-4bit
rank 1 sharded_load OK
rank 1 stream generation start prompt_tokens=128 generation_tokens=64
Warning: rocBLAS does not support GPU architecture 'gfx1103'. Matrix multiplication operations will not be available. Supported architectures: gfx908, gfx90a, gfx942, gfx950, gfx1030, gfx1100, gfx1101, gfx1102, gfx1150, gfx1151, gfx1200, gfx1201.
rank 1 generation response tokens=1 finish=None
rank 1 step 0 synchronize start
rank 1 step 0 synchronize OK
rank 1 generation response tokens=2 finish=None
rank 1 step 1 synchronize start
rank 1 step 1 synchronize OK
rank 1 generation response tokens=3 finish=None
rank 1 step 2 synchronize start
rank 1 step 2 synchronize OK
rank 1 generation response tokens=4 finish=None
rank 1 step 3 synchronize start
rank 1 step 3 synchronize OK
rank 1 generation response tokens=5 finish=None
rank 1 step 4 synchronize start
rank 1 step 4 synchronize OK
rank 1 generation response tokens=6 finish=None
rank 1 step 5 synchronize start
rank 1 step 5 synchronize OK
rank 1 generation response tokens=7 finish=None
rank 1 step 6 synchronize start
rank 1 step 6 synchronize OK
rank 1 generation response tokens=8 finish=None
rank 1 step 7 synchronize start
rank 1 step 7 synchronize OK
rank 1 generation response tokens=9 finish=None
rank 1 step 8 synchronize start
rank 1 step 8 synchronize OK
rank 1 generation response tokens=10 finish=None
rank 1 step 9 synchronize start
rank 1 step 9 synchronize OK
rank 1 generation response tokens=11 finish=None
rank 1 step 10 synchronize start
rank 1 step 10 synchronize OK
rank 1 generation response tokens=12 finish=None
rank 1 step 11 synchronize start
rank 1 step 11 synchronize OK
rank 1 generation response tokens=13 finish=None
rank 1 step 12 synchronize start
