copying 0 paths...
copying 0 paths...
Using Linux HCA usb4_rdma4 and macOS HCA rdma_en3
en3: flags=8863<UP,BROADCAST,SMART,RUNNING,SIMPLEX,MULTICAST> mtu 9000
	options=460<TSO4,TSO6,CHANNEL_IO>
	ether 36:26:af:6d:62:08
	inet 10.0.3.3 netmask 0xffffff00 broadcast 10.0.3.255
	media: autoselect <full-duplex>
	status: active
== lm mac0-linux1 via 192.168.23.73:31040 ==
-- mac output (mac0-linux1 rank 0) --
rank 0/2 backend=jaccl MLX_RANK=0 device=Device(gpu, 0) model=/tmp/mlx-lm-qwen2-0.5b-instruct-4bit
rank 0 sharded_load OK
rank 0 stream generation start prompt_tokens=512 generation_tokens=256
rank 0 generation response tokens=1 finish=None
rank 0 generation response tokens=2 finish=None
rank 0 generation response tokens=3 finish=None
rank 0 generation response tokens=4 finish=None
rank 0 generation response tokens=5 finish=None
rank 0 generation response tokens=6 finish=None
rank 0 generation response tokens=7 finish=None
rank 0 generation response tokens=8 finish=None
rank 0 generation response tokens=9 finish=None
rank 0 generation response tokens=10 finish=None
rank 0 generation response tokens=11 finish=None
rank 0 generation response tokens=12 finish=None
rank 0 generation response tokens=13 finish=None
rank 0 generation response tokens=14 finish=None
rank 0 generation response tokens=15 finish=None
rank 0 generation response tokens=16 finish=None
rank 0 generation response tokens=17 finish=None
rank 0 generation response tokens=18 finish=None
rank 0 generation response tokens=19 finish=None
rank 0 generation response tokens=20 finish=None
rank 0 generation response tokens=21 finish=None
rank 0 generation response tokens=22 finish=None
rank 0 generation response tokens=23 finish=None
rank 0 generation response tokens=24 finish=None
rank 0 generation response tokens=25 finish=None
rank 0 generation response tokens=26 finish=None
rank 0 generation response tokens=27 finish=None
rank 0 generation response tokens=28 finish=None
rank 0 generation response tokens=29 finish=None
rank 0 generation response tokens=30 finish=None
rank 0 generation response tokens=31 finish=None
rank 0 generation response tokens=32 finish=None
rank 0 generation response tokens=33 finish=None
rank 0 generation response tokens=34 finish=None
rank 0 generation response tokens=35 finish=None
rank 0 generation response tokens=36 finish=None
rank 0 generation response tokens=37 finish=None
rank 0 generation response tokens=38 finish=None
rank 0 generation response tokens=39 finish=None
rank 0 generation response tokens=40 finish=None
rank 0 generation response tokens=41 finish=None
rank 0 generation response tokens=42 finish=None
rank 0 generation response tokens=43 finish=None
rank 0 generation response tokens=44 finish=None
rank 0 generation response tokens=45 finish=None
rank 0 generation response tokens=46 finish=None
rank 0 generation response tokens=47 finish=None
rank 0 generation response tokens=48 finish=None
rank 0 generation response tokens=49 finish=None
rank 0 generation response tokens=50 finish=None
rank 0 generation response tokens=51 finish=None
rank 0 generation response tokens=52 finish=None
rank 0 generation response tokens=53 finish=None
rank 0 generation response tokens=54 finish=None
rank 0 generation response tokens=55 finish=None
rank 0 generation response tokens=56 finish=None
rank 0 generation response tokens=57 finish=None
rank 0 generation response tokens=58 finish=None
rank 0 generation response tokens=59 finish=None
rank 0 generation response tokens=60 finish=None
rank 0 generation response tokens=61 finish=None
rank 0 generation response tokens=62 finish=None
rank 0 generation response tokens=63 finish=None
rank 0 generation response tokens=64 finish=None
rank 0 generation response tokens=65 finish=None
rank 0 generation response tokens=66 finish=None
rank 0 generation response tokens=67 finish=None
rank 0 generation response tokens=68 finish=None
rank 0 generation response tokens=69 finish=None
rank 0 generation response tokens=70 finish=None
rank 0 generation response tokens=71 finish=None
rank 0 generation response tokens=72 finish=None
rank 0 generation response tokens=73 finish=None
rank 0 generation response tokens=74 finish=None
rank 0 generation response tokens=75 finish=None
rank 0 generation response tokens=76 finish=None
rank 0 generation response tokens=77 finish=None
rank 0 generation response tokens=78 finish=None
rank 0 generation response tokens=79 finish=None
rank 0 generation response tokens=80 finish=None
rank 0 generation response tokens=81 finish=None
rank 0 generation response tokens=82 finish=None
rank 0 generation response tokens=83 finish=None
rank 0 generation response tokens=84 finish=None
rank 0 generation response tokens=85 finish=None
rank 0 generation response tokens=86 finish=None
rank 0 generation response tokens=87 finish=None
rank 0 generation response tokens=88 finish=None
rank 0 generation response tokens=89 finish=None
rank 0 generation response tokens=90 finish=None
rank 0 generation response tokens=91 finish=None
rank 0 generation response tokens=92 finish=None
rank 0 generation response tokens=93 finish=None
rank 0 generation response tokens=94 finish=None
rank 0 generation response tokens=95 finish=None
rank 0 generation response tokens=96 finish=None
rank 0 generation response tokens=97 finish=None
rank 0 generation response tokens=98 finish=None
rank 0 generation response tokens=99 finish=None
rank 0 generation response tokens=100 finish=None
rank 0 generation response tokens=101 finish=None
rank 0 generation response tokens=102 finish=None
rank 0 generation response tokens=103 finish=None
rank 0 generation response tokens=104 finish=None
rank 0 generation response tokens=105 finish=None
rank 0 generation response tokens=106 finish=None
rank 0 generation response tokens=107 finish=None
rank 0 generation response tokens=108 finish=None
rank 0 generation response tokens=109 finish=None
rank 0 generation response tokens=110 finish=None
rank 0 generation response tokens=111 finish=None
rank 0 generation response tokens=112 finish=None
rank 0 generation response tokens=113 finish=None
rank 0 generation response tokens=114 finish=None
rank 0 generation response tokens=115 finish=None
rank 0 generation response tokens=116 finish=None
rank 0 generation response tokens=117 finish=None
rank 0 generation response tokens=118 finish=None
rank 0 generation response tokens=119 finish=None
rank 0 generation response tokens=120 finish=None
rank 0 generation response tokens=121 finish=None
rank 0 generation response tokens=122 finish=None
rank 0 generation response tokens=123 finish=None
rank 0 generation response tokens=124 finish=None
rank 0 generation response tokens=125 finish=None
rank 0 generation response tokens=126 finish=None
rank 0 generation response tokens=127 finish=None
rank 0 generation response tokens=128 finish=None
rank 0 generation response tokens=129 finish=None
rank 0 generation response tokens=130 finish=None
rank 0 generation response tokens=131 finish=None
rank 0 generation response tokens=132 finish=None
rank 0 generation response tokens=133 finish=None
rank 0 generation response tokens=134 finish=None
rank 0 generation response tokens=135 finish=None
rank 0 generation response tokens=136 finish=None
rank 0 generation response tokens=137 finish=None
rank 0 generation response tokens=138 finish=None
rank 0 generation response tokens=139 finish=None
rank 0 generation response tokens=140 finish=None
rank 0 generation response tokens=141 finish=None
rank 0 generation response tokens=142 finish=None
rank 0 generation response tokens=143 finish=None
rank 0 generation response tokens=144 finish=None
rank 0 generation response tokens=145 finish=None
rank 0 generation response tokens=146 finish=None
rank 0 generation response tokens=147 finish=None
rank 0 generation response tokens=148 finish=None
rank 0 generation response tokens=149 finish=None
rank 0 generation response tokens=150 finish=None
rank 0 generation response tokens=151 finish=None
rank 0 generation response tokens=152 finish=None
rank 0 generation response tokens=153 finish=None
rank 0 generation response tokens=154 finish=None
rank 0 generation response tokens=155 finish=None
rank 0 generation response tokens=156 finish=None
rank 0 generation response tokens=157 finish=None
rank 0 generation response tokens=158 finish=None
rank 0 generation response tokens=159 finish=None
rank 0 generation response tokens=160 finish=None
rank 0 generation response tokens=161 finish=None
rank 0 generation response tokens=162 finish=None
rank 0 generation response tokens=163 finish=None
rank 0 generation response tokens=164 finish=None
rank 0 generation response tokens=165 finish=None
rank 0 generation response tokens=166 finish=None
rank 0 generation response tokens=167 finish=None
rank 0 generation response tokens=168 finish=None
rank 0 generation response tokens=169 finish=None
rank 0 generation response tokens=170 finish=None
rank 0 generation response tokens=171 finish=None
rank 0 generation response tokens=172 finish=None
rank 0 generation response tokens=173 finish=None
rank 0 generation response tokens=174 finish=None
rank 0 generation response tokens=175 finish=None
rank 0 generation response tokens=176 finish=None
rank 0 generation response tokens=177 finish=None
rank 0 generation response tokens=178 finish=None
rank 0 generation response tokens=179 finish=None
rank 0 generation response tokens=180 finish=None
rank 0 generation response tokens=181 finish=None
rank 0 generation response tokens=182 finish=None
rank 0 generation response tokens=183 finish=None
rank 0 generation response tokens=184 finish=None
rank 0 generation response tokens=185 finish=None
rank 0 generation response tokens=186 finish=None
rank 0 generation response tokens=187 finish=None
rank 0 generation response tokens=188 finish=None
rank 0 generation response tokens=189 finish=None
rank 0 generation response tokens=190 finish=None
rank 0 generation response tokens=191 finish=None
rank 0 generation response tokens=192 finish=None
rank 0 generation response tokens=193 finish=None
rank 0 generation response tokens=194 finish=None
rank 0 generation response tokens=195 finish=None
rank 0 generation response tokens=196 finish=None
rank 0 generation response tokens=197 finish=None
rank 0 generation response tokens=198 finish=None
rank 0 generation response tokens=199 finish=None
rank 0 generation response tokens=200 finish=None
rank 0 generation response tokens=201 finish=None
rank 0 generation response tokens=202 finish=None
rank 0 generation response tokens=203 finish=None
rank 0 generation response tokens=204 finish=None
rank 0 generation response tokens=205 finish=None
rank 0 generation response tokens=206 finish=None
rank 0 generation response tokens=207 finish=None
rank 0 generation response tokens=208 finish=None
rank 0 generation response tokens=209 finish=None
rank 0 generation response tokens=210 finish=None
rank 0 generation response tokens=211 finish=None
rank 0 generation response tokens=212 finish=None
rank 0 generation response tokens=213 finish=None
rank 0 generation response tokens=214 finish=None
rank 0 generation response tokens=215 finish=None
rank 0 generation response tokens=216 finish=None
rank 0 generation response tokens=217 finish=None
rank 0 generation response tokens=218 finish=None
rank 0 generation response tokens=219 finish=None
rank 0 generation response tokens=220 finish=None
rank 0 generation response tokens=221 finish=None
