direction,size_bytes,mean_us,p99_us,count,min_us,p50_us,max_us,linux_rc,mac_rc
linux-to-mac,64,10.49,22.29,5000,8.43,9.85,118.53,0,0
mac-to-linux,64,10.98,28.00,5000,8.00,10.00,1947.00,0,0
linux-to-mac,256,16.77,14.28,5000,9.39,10.91,27985.92,0,0
mac-to-linux,256,12.91,15.00,5000,9.00,10.00,12766.00,0,0
linux-to-mac,1024,23.15,19.87,5000,11.86,14.64,41186.58,0,0
mac-to-linux,1024,15.26,46.00,5000,12.00,14.00,2305.00,0,0
linux-to-mac,4096,24.90,53.99,5000,20.07,23.26,223.97,0,0
mac-to-linux,4096,24.76,50.00,5000,19.00,23.00,1443.00,0,0
linux-to-mac,16384,65.45,105.02,5000,54.16,59.72,14949.02,0,0
mac-to-linux,16384,70.50,77.00,5000,54.00,60.00,48303.00,0,0
