direction,size_bytes,depth,count,rate_mbps,elapsed_s,errors
linux-to-mac,4096,1,128,826.06,0.005000,0
mac-to-linux,4096,1,128,9078.58,0.000000,0
linux-to-mac,16384,1,128,3520.45,0.005000,0
mac-to-linux,16384,1,128,13220.82,0.001000,0
linux-to-mac,65536,1,32,4109.11,0.004000,0
mac-to-linux,65536,1,32,16611.10,0.001000,0
linux-to-mac,262144,1,8,3856.37,0.004000,0
mac-to-linux,262144,1,8,17421.82,0.001000,0
linux-to-mac,1048576,1,2,3934.52,0.004000,0
mac-to-linux,1048576,1,2,17278.29,0.001000,0
linux-to-mac,4096,8,128,1698.38,0.002000,0
mac-to-linux,4096,8,128,22550.02,0.000000,0
linux-to-mac,16384,8,128,5409.34,0.003000,0
mac-to-linux,16384,8,128,28197.00,0.001000,0
linux-to-mac,65536,8,32,5619.83,0.003000,0
mac-to-linux,65536,8,32,26132.74,0.001000,0
linux-to-mac,262144,8,8,5348.13,0.003000,0
mac-to-linux,262144,8,8,26337.86,0.001000,0
linux-to-mac,1048576,8,2,4755.60,0.004000,0
mac-to-linux,1048576,8,2,21509.25,0.001000,0
linux-to-mac,4096,32,128,2231.32,0.002000,0
mac-to-linux,4096,32,128,24966.10,0.000000,0
linux-to-mac,16384,32,128,5761.73,0.003000,0
mac-to-linux,16384,32,128,27962.03,0.001000,0
linux-to-mac,65536,32,32,5436.21,0.003000,0
mac-to-linux,65536,32,32,27639.57,0.001000,0
linux-to-mac,262144,32,8,4919.85,0.003000,0
mac-to-linux,262144,32,8,25970.92,0.001000,0
linux-to-mac,1048576,32,2,4650.15,0.004000,0
mac-to-linux,1048576,32,2,21760.33,0.001000,0
