topology,direction,size_bytes,count,depth,completed_ok,error
router-mbp,linux-to-mac,64,64,1,0,"tcp connect: Connection refused"
router-mbp,mac-to-linux,64,64,1,0,"tcp connect: Connection refused"
router-mbp,linux-to-mac,128,64,1,0,"tcp connect: Connection refused"
router-mbp,mac-to-linux,128,64,1,0,"tcp connect: Connection refused"
router-mbp,linux-to-mac,192,64,1,0,"tcp connect: Connection refused"
router-mbp,mac-to-linux,192,64,1,0,"tcp connect: Connection refused"
router-mbp,linux-to-mac,255,64,1,0,"tcp connect: Connection refused"
router-mbp,mac-to-linux,255,64,1,0,"tcp connect: Connection refused"
router-mbp,linux-to-mac,256,64,1,0,"tcp connect: Connection refused"
router-mbp,mac-to-linux,256,64,1,0,"tcp connect: Connection refused"
router-mbp,linux-to-mac,257,64,1,0,"data_wr_timeout: 0"
router-mbp,mac-to-linux,257,64,1,0,"tcp connect: Connection refused"
router-mbp,linux-to-mac,512,64,1,0,"tcp connect: Connection refused"
router-mbp,mac-to-linux,512,64,1,0,"tcp connect: Connection refused"
