kind,case,dev,bytes,iters,client_bw_avg_gbps,client_bw_peak_gbps,client_msg_rate_mpps,lat_avg_us,lat_typical_us,lat_min_us,lat_max_us,client_log
bw,write_1m,usb4_rdma0,1048576,64,9.18,9.18,0.001094,,,,,strix-2/client-write_1m-usb4_rdma0.log
bw,write_1m,usb4_rdma1,1048576,64,9.17,9.17,0.001093,,,,,strix-2/client-write_1m-usb4_rdma1.log
bw,write_1m,usb4_rdma5,1048576,64,9.17,9.17,0.001093,,,,,strix-2/client-write_1m-usb4_rdma5.log
bw,write_1m,usb4_rdma6,1048576,64,8.47,8.47,0.001010,,,,,strix-2/client-write_1m-usb4_rdma6.log
bw_total,write_1m,all4,,,35.990,,,,,,,
bw,read_1m,usb4_rdma0,1048576,64,3.44,6.76,0.000411,,,,,strix-2/client-read_1m-usb4_rdma0.log
bw,read_1m,usb4_rdma1,1048576,64,3.61,7.77,0.000430,,,,,strix-2/client-read_1m-usb4_rdma1.log
bw,read_1m,usb4_rdma5,1048576,64,3.56,7.20,0.000424,,,,,strix-2/client-read_1m-usb4_rdma5.log
bw,read_1m,usb4_rdma6,1048576,64,3.51,7.41,0.000418,,,,,strix-2/client-read_1m-usb4_rdma6.log
bw_total,read_1m,all4,,,14.120,,,,,,,
bw,send_64k,usb4_rdma0,65536,1000,9.18,9.18,0.017501,,,,,strix-2/client-send_64k-usb4_rdma0.log
bw,send_64k,usb4_rdma1,65536,1000,9.18,9.19,0.017511,,,,,strix-2/client-send_64k-usb4_rdma1.log
bw,send_64k,usb4_rdma5,65536,1000,8.10,9.71,0.015454,,,,,strix-2/client-send_64k-usb4_rdma5.log
bw,send_64k,usb4_rdma6,65536,1000,8.87,10.36,0.016917,,,,,strix-2/client-send_64k-usb4_rdma6.log
bw_total,send_64k,all4,,,35.330,,,,,,,
lat,write_lat_64,usb4_rdma0,64,1000,,,,7.64,7.50,6.90,19.85,strix-2/client-write_lat_64-usb4_rdma0.log
lat,read_lat_64,usb4_rdma0,64,1000,,,,16.72,15.78,14.77,63.81,strix-2/client-read_lat_64-usb4_rdma0.log
lat,send_lat_64,usb4_rdma0,64,1000,,,,8.75,8.56,7.32,21.30,strix-2/client-send_lat_64-usb4_rdma0.log
