timestamp_utc,mode,server,client,tool,dev,size,iters,qps,port,status,bw_peak_gbps,bw_avg_gbps,msg_rate_mpps,server_log,client_log
2026-05-27T14:15:51Z,fwd,strix-1,strix-2,ib_write_bw,usb4_rdma0,1048576,1500,1,19700,0,13.20,13.02,0.001553,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma0-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma0-client.log
2026-05-27T14:15:51Z,fwd,strix-1,strix-2,ib_write_bw,usb4_rdma1,1048576,1500,1,19701,0,13.20,13.02,0.001553,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma1-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma1-client.log
2026-05-27T14:15:51Z,fwd,strix-1,strix-2,ib_write_bw,usb4_rdma5,1048576,1500,1,19702,0,13.22,13.04,0.001554,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma5-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma5-client.log
2026-05-27T14:15:51Z,fwd,strix-1,strix-2,ib_write_bw,usb4_rdma6,1048576,1500,1,19703,0,12.84,12.75,0.001519,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma6-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_write_bw-q1-usb4_rdma6-client.log
2026-05-27T14:15:54Z,fwd,strix-1,strix-2,ib_send_bw,usb4_rdma0,1048576,1500,1,19710,0,10.70,10.70,0.001276,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma0-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma0-client.log
2026-05-27T14:15:54Z,fwd,strix-1,strix-2,ib_send_bw,usb4_rdma1,1048576,1500,1,19711,0,10.74,10.74,0.001280,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma1-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma1-client.log
2026-05-27T14:15:54Z,fwd,strix-1,strix-2,ib_send_bw,usb4_rdma5,1048576,1500,1,19712,0,10.74,10.74,0.001280,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma5-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma5-client.log
2026-05-27T14:15:54Z,fwd,strix-1,strix-2,ib_send_bw,usb4_rdma6,1048576,1500,1,19713,0,10.71,10.63,0.001267,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma6-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-fwd-strix-1-strix-2-ib_send_bw-q1-usb4_rdma6-client.log
2026-05-27T14:15:57Z,rev,strix-2,strix-1,ib_write_bw,usb4_rdma0,1048576,1500,1,19720,0,11.79,11.79,0.001405,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-rev-strix-2-strix-1-ib_write_bw-q1-usb4_rdma0-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-rev-strix-2-strix-1-ib_write_bw-q1-usb4_rdma0-client.log
2026-05-27T14:15:57Z,rev,strix-2,strix-1,ib_write_bw,usb4_rdma1,1048576,1500,1,19721,0,11.84,11.84,0.001411,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-rev-strix-2-strix-1-ib_write_bw-q1-usb4_rdma1-server.log,/mnt/Home/src/nix-strix-halo/out-rdma-iommu-off-1m-agg-20260527T141548Z/agg-rev-strix-2-strix-1-ib_write_bw-q1-usb4_rdma1-client.log
