mode,server_parallel,concurrency,repeats,ok_requests,failed_requests,total_predicted_tokens,aggregate_pred_tok_s,mean_latency_ms,p95_latency_ms,mean_prompt_tok_s,mean_predicted_tok_s
baseline,1,1,2,2,0,256,9.073,14107.9,14107.9,286.524,12.182
baseline,2,1,2,2,0,256,9.060,14128.6,14128.6,284.674,12.182
baseline,2,2,2,4,0,512,13.504,18908.0,18940.8,139.865,11.068
baseline,4,1,2,2,0,256,9.060,14127.5,14127.5,284.893,12.183
baseline,4,2,2,4,0,512,13.512,18897.5,18930.4,140.023,11.070
baseline,4,4,2,8,0,1024,17.618,29022.0,29042.7,68.450,9.119
baseline,8,1,2,2,0,256,9.125,14026.6,14026.6,292.300,12.196
baseline,8,2,2,4,0,512,13.660,18690.7,18722.1,143.856,11.083
baseline,8,4,2,8,0,1024,17.896,28570.1,28590.7,70.257,9.162
baseline,8,8,2,16,0,2048,19.669,51924.6,52042.6,46.610,5.420
mtp,1,1,2,2,0,256,12.060,10616.3,10616.3,258.403,19.330
mtp,2,1,2,2,0,256,12.051,10623.3,10623.3,258.887,19.292
mtp,2,2,2,4,0,512,12.361,20450.2,20694.7,146.982,10.232
mtp,4,1,2,2,0,256,12.026,10645.4,10645.4,257.425,19.295
mtp,4,2,2,4,0,512,12.325,20509.8,20753.6,146.189,10.220
mtp,4,4,2,8,0,1024,13.550,36027.3,37779.0,69.842,6.451
mtp,8,1,2,2,0,256,12.152,10535.2,10535.2,263.453,19.340
mtp,8,2,2,4,0,512,12.464,20277.7,20521.2,149.711,10.250
mtp,8,4,2,8,0,1024,13.752,35385.5,37224.3,71.572,6.539
mtp,8,8,2,16,0,2048,14.100,69974.9,72773.7,46.708,3.165
