timestamp,host,backend,model,mode,server_parallel,concurrency,repeat,ok_requests,failed_requests,total_prompt_tokens,total_predicted_tokens,batch_wall_ms,aggregate_pred_tok_s,mean_latency_ms,p50_latency_ms,p95_latency_ms,mean_prompt_tok_s,mean_predicted_tok_s
2026-05-21T12:26:02.304Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,1,1,1,1,0,1024,128,14105.080,9.074745,14104.894,14104.894,14104.894,286.799145,12.183665
2026-05-21T12:26:16.433Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,1,1,2,1,0,1024,128,14111.090,9.070880,14110.889,14110.889,14110.889,286.249326,12.180893
2026-05-21T12:26:33.654Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,2,1,1,1,0,1024,128,14127.745,9.060186,14127.560,14127.560,14127.560,284.837045,12.182424
2026-05-21T12:26:47.806Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,2,1,2,1,0,1024,128,14129.799,9.058869,14129.612,14129.612,14129.612,284.510040,12.181715
2026-05-21T12:27:01.958Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,2,2,1,2,0,2048,256,18952.450,13.507488,18902.777,18870.998,18934.555,139.988057,11.068136
2026-05-21T12:27:20.934Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,2,2,2,2,0,2048,256,18960.918,13.501456,18913.271,18879.549,18946.993,139.742019,11.067364
2026-05-21T12:27:43.005Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,4,1,1,1,0,1024,128,14122.025,9.063856,14121.842,14121.842,14121.842,285.278567,12.181016
2026-05-21T12:27:57.149Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,4,1,2,1,0,1024,128,14133.371,9.056580,14133.182,14133.182,14133.182,284.508222,12.184563
2026-05-21T12:28:11.304Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,4,2,1,2,0,2048,256,18937.481,13.518166,18887.381,18855.608,18919.154,140.301631,11.067401
2026-05-21T12:28:30.263Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,4,2,2,2,0,2048,256,18956.081,13.504901,18907.540,18873.437,18941.643,139.744808,11.072531
2026-05-21T12:28:49.241Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,4,4,1,4,0,4096,512,29045.553,17.627483,29006.057,29024.865,29026.968,68.542721,9.115901
2026-05-21T12:29:18.348Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,4,4,2,4,0,4096,512,29077.952,17.607842,29037.879,29056.471,29058.507,68.358176,9.121250
2026-05-21T12:29:50.581Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,1,1,1,0,1024,128,14026.249,9.125747,14026.060,14026.060,14026.060,292.407513,12.196384
2026-05-21T12:30:04.631Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,1,2,1,0,1024,128,14027.391,9.125004,14027.212,14027.212,14027.212,292.192580,12.194823
2026-05-21T12:30:18.680Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,2,1,2,0,2048,256,18731.522,13.666802,18680.685,18649.484,18711.887,144.064197,11.083378
2026-05-21T12:30:37.435Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,2,2,2,0,2048,256,18750.431,13.653020,18700.808,18669.225,18732.392,143.647778,11.082333
2026-05-21T12:30:56.208Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,4,1,4,0,4096,512,28590.587,17.907992,28551.721,28570.846,28572.337,70.308508,9.166664
2026-05-21T12:31:24.864Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,4,2,4,0,4096,512,28627.387,17.884972,28588.523,28607.558,28609.053,70.206153,9.157193
2026-05-21T12:31:53.554Z,strix-1,llama.cpp-vulkan,Qwen3.6-27B-UD-Q4_K_XL.gguf,baseline,8,8,1,8,0,8192,1024,52022.801,19.683677,51887.206,51792.995,52005.171,46.666129,5.419021
