timestamp_utc,run_id,host,transport,parallelism,model,concurrency,max_tokens,prompt_chars,prompt_tokens_per_req,requests_ok,requests_failed,status,skip_reason,wall_s,total_prompt_tokens,total_completion_tokens,total_tps,ttft_mean_s,ttft_p50_s,ttft_p95_s,prefill_mean_s,decode_mean_s,decode_tps_mean,output_tps_mean,endpoint,socket_ifname,rdma_hca,vllm_extra_args,server_log,errors
2026-05-02T15:32:13+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-0.6B,1,64,5940,1075,1,0,ok,,1.676675,1075,64,38.170790,0.245603,0.245603,0.245603,0.245603,1.430464,44.041660,38.184638,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-0.6B.log,
2026-05-02T15:32:14+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-0.6B,4,64,5940,1075.000000,4,0,ok,,1.547070,4300,256,165.474108,0.090218,0.100931,0.102337,0.090218,1.448502,43.494824,41.595026,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-0.6B.log,
2026-05-02T15:32:16+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-0.6B,16,64,5940,1075.000000,16,0,ok,,2.215218,17200,1024,462.257025,0.141267,0.146915,0.149610,0.141267,2.065378,30.504123,29.003667,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-0.6B.log,
2026-05-02T15:32:20+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-0.6B,64,64,5940,1075.000000,64,0,ok,,3.551582,68800,4096,1153.288909,0.303072,0.273176,0.399065,0.303072,3.198584,19.701293,18.277727,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-0.6B.log,
2026-05-02T15:32:29+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-0.6B,256,64,5940,1075.000000,256,0,ok,,8.950093,275200,16384,1830.595536,0.803104,0.801586,1.089149,0.803104,8.022181,7.857960,7.252290,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-0.6B.log,
2026-05-02T15:33:29+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,HuggingFaceTB/SmolLM3-3B,1,64,5940,1027,1,0,ok,,3.073715,1027,64,20.821706,0.500179,0.500179,0.500179,0.500179,2.572980,24.485226,20.825479,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:33:32+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,HuggingFaceTB/SmolLM3-3B,4,64,5940,1027.000000,4,0,ok,,3.020927,4108,256,84.742207,0.174651,0.174645,0.225267,0.174651,2.823025,22.318763,21.351015,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:33:38+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,HuggingFaceTB/SmolLM3-3B,16,64,5940,1027.000000,16,0,ok,,5.707697,16432,1024,179.406858,0.264015,0.275686,0.277610,0.264015,5.432920,11.596174,11.234281,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:33:46+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,HuggingFaceTB/SmolLM3-3B,64,64,5940,1027.000000,64,0,ok,,7.696430,65728,4096,532.194774,0.516023,0.544364,0.568234,0.516023,7.141783,8.822218,8.357685,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:34:01+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,HuggingFaceTB/SmolLM3-3B,256,64,5940,1027.000000,256,0,ok,,14.675910,262912,16384,1116.387353,1.337179,1.498138,1.537402,1.337179,13.234362,4.763237,4.392204,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:34:56+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-4B-Instruct-2507,1,64,5940,1075,1,0,ok,,2.969578,1075,64,21.551886,0.553729,0.553729,0.553729,0.553729,2.415373,26.082929,21.555340,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:34:59+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-4B-Instruct-2507,4,64,5940,1075.000000,4,0,ok,,3.144619,4300,256,81.408903,0.156437,0.178027,0.178496,0.156437,2.975029,21.177054,20.438505,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:35:03+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-4B-Instruct-2507,16,64,5940,1075.000000,16,0,ok,,4.361860,17200,1024,234.762240,0.309522,0.322745,0.324889,0.309522,4.043638,15.581187,14.702167,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:35:10+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-4B-Instruct-2507,64,64,5940,1075.000000,64,0,ok,,6.989336,68800,4096,586.035654,0.612849,0.531314,0.815799,0.612849,6.305833,9.994204,9.250516,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:35:27+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,Qwen/Qwen3-4B-Instruct-2507,256,64,5940,1075.000000,256,0,ok,,16.582167,275200,16384,988.049405,2.125102,2.331397,2.375882,2.125102,14.360873,4.392344,3.882161,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:36:29+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,allenai/Olmo-3-7B-Instruct,1,64,5940,1027,1,0,ok,,5.598931,1027,64,11.430754,1.218647,1.218647,1.218647,1.218647,4.379671,14.384643,11.432005,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-allenai_Olmo-3-7B-Instruct.log,
2026-05-02T15:36:35+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,allenai/Olmo-3-7B-Instruct,4,64,5940,1027.000000,4,0,ok,,5.033190,4108,256,50.862373,0.241981,0.241908,0.242569,0.241981,4.789731,13.153140,12.719330,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-allenai_Olmo-3-7B-Instruct.log,
2026-05-02T15:36:43+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,allenai/Olmo-3-7B-Instruct,16,64,5940,1027.000000,16,0,ok,,7.880744,16432,1024,129.936973,0.531993,0.567261,0.570227,0.531993,7.306442,8.622530,8.165238,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-allenai_Olmo-3-7B-Instruct.log,
2026-05-02T15:36:56+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,allenai/Olmo-3-7B-Instruct,64,64,5940,1027.000000,64,0,ok,,12.925149,65728,4096,316.901561,1.020342,1.015092,1.044670,1.020342,11.871128,5.306994,4.964550,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-allenai_Olmo-3-7B-Instruct.log,
2026-05-02T15:37:35+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,allenai/Olmo-3-7B-Instruct,256,64,5940,1027.000000,256,0,ok,,39.021236,262912,16384,419.873933,3.204812,3.288609,3.332133,3.204812,35.654856,1.766952,1.646997,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-allenai_Olmo-3-7B-Instruct.log,
2026-05-02T15:38:37+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,unsloth/Meta-Llama-3.1-8B-Instruct,1,64,5940,1028,1,0,ok,,4.717966,1028,64,13.565168,0.948244,0.948244,0.948244,0.948244,3.769169,16.714559,13.566759,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-unsloth_Meta-Llama-3.1-8B-Instruct.log,
2026-05-02T15:38:41+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,unsloth/Meta-Llama-3.1-8B-Instruct,4,64,5940,1028.000000,4,0,ok,,4.172334,4112,256,61.356551,0.155577,0.155563,0.156282,0.155577,4.015189,15.690419,15.344901,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-unsloth_Meta-Llama-3.1-8B-Instruct.log,
2026-05-02T15:38:47+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,unsloth/Meta-Llama-3.1-8B-Instruct,16,64,5940,1028.000000,16,0,ok,,6.381701,16448,1024,160.458778,0.348262,0.362672,0.365564,0.348262,6.022367,10.461330,10.046240,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-unsloth_Meta-Llama-3.1-8B-Instruct.log,
2026-05-02T15:38:57+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,unsloth/Meta-Llama-3.1-8B-Instruct,64,64,5940,1028.000000,64,0,ok,,9.350904,65792,4096,438.032533,0.807236,0.814773,0.839878,0.807236,8.509686,7.403760,6.869258,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-unsloth_Meta-Llama-3.1-8B-Instruct.log,
2026-05-02T15:39:23+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_tcp,tp2,unsloth/Meta-Llama-3.1-8B-Instruct,256,64,5940,1028.000000,256,0,ok,,25.779586,263168,16384,635.541616,2.214943,2.707274,2.758708,2.214943,23.396154,2.694829,2.498999,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_tcp-unsloth_Meta-Llama-3.1-8B-Instruct.log,
2026-05-02T15:40:16+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-0.6B,1,64,5940,1075,1,0,ok,,1.738924,1075,64,36.804377,0.219649,0.219649,0.219649,0.219649,1.518750,41.481470,36.815481,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-0.6B.log,
2026-05-02T15:40:18+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-0.6B,4,64,5940,1075.000000,4,0,ok,,1.667577,4300,256,153.516175,0.072836,0.072830,0.073569,0.072836,1.593227,39.542380,38.413913,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-0.6B.log,
2026-05-02T15:40:20+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-0.6B,16,64,5940,1075.000000,16,0,ok,,2.256366,17200,1024,453.827131,0.151593,0.157302,0.159287,0.151593,2.097172,30.041841,28.460398,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-0.6B.log,
2026-05-02T15:40:24+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-0.6B,64,64,5940,1075.000000,64,0,ok,,3.752353,68800,4096,1091.581856,0.345732,0.395444,0.422928,0.345732,3.365658,18.726940,17.245198,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-0.6B.log,
2026-05-02T15:40:33+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-0.6B,256,64,5940,1075.000000,256,0,ok,,9.205399,275200,16384,1779.825014,0.860013,0.919777,1.188040,0.860013,8.218412,7.671673,7.050028,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-0.6B.log,
2026-05-02T15:41:39+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,HuggingFaceTB/SmolLM3-3B,1,64,5940,1027,1,0,ok,,3.050456,1027,64,20.980469,0.520830,0.520830,0.520830,0.520830,2.529175,24.909305,20.983567,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:41:42+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,HuggingFaceTB/SmolLM3-3B,4,64,5940,1027.000000,4,0,ok,,2.972285,4108,256,86.129024,0.164818,0.190992,0.191739,0.164818,2.795489,22.538477,21.620202,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:41:48+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,HuggingFaceTB/SmolLM3-3B,16,64,5940,1027.000000,16,0,ok,,5.860235,16432,1024,174.737024,0.253715,0.264849,0.267046,0.253715,5.596123,11.257967,10.940626,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:41:55+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,HuggingFaceTB/SmolLM3-3B,64,64,5940,1027.000000,64,0,ok,,7.699098,65728,4096,532.010390,0.481726,0.404610,0.634833,0.481726,7.140393,8.824047,8.396997,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:42:11+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,HuggingFaceTB/SmolLM3-3B,256,64,5940,1027.000000,256,0,ok,,15.409202,262912,16384,1063.260752,1.294895,1.417214,1.708515,1.294895,13.952083,4.517666,4.197658,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-HuggingFaceTB_SmolLM3-3B.log,
2026-05-02T15:43:06+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-4B-Instruct-2507,1,64,5940,1075,1,0,ok,,2.984740,1075,64,21.442403,0.596428,0.596428,0.596428,0.596428,2.387748,26.384691,21.446457,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:43:09+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-4B-Instruct-2507,4,64,5940,1075.000000,4,0,ok,,2.952723,4300,256,86.699645,0.151909,0.151843,0.195141,0.151909,2.778878,22.672452,21.838253,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:43:14+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-4B-Instruct-2507,16,64,5940,1075.000000,16,0,ok,,4.489758,17200,1024,228.074671,0.295594,0.309537,0.312165,0.295594,4.183833,15.059014,14.287760,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:43:21+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-4B-Instruct-2507,64,64,5940,1075.000000,64,0,ok,,6.685087,68800,4096,612.707016,0.688735,0.727282,0.748996,0.688735,5.962907,10.569683,9.621851,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:43:38+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,Qwen/Qwen3-4B-Instruct-2507,256,64,5940,1075.000000,256,0,ok,,17.889573,275200,16384,915.840745,1.966946,2.538265,2.585229,1.966946,15.788005,3.996680,3.604740,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-Qwen_Qwen3-4B-Instruct-2507.log,
2026-05-02T15:44:41+00:00,full-tb-paired-20260502T153121Z,strix-1,tb_rxe,tp2,allenai/Olmo-3-7B-Instruct,1,64,5940,1027,1,0,ok,,5.709180,1027,64,11.210016,1.306906,1.306906,1.306906,1.306906,4.401765,14.312439,11.211014,http://127.0.0.1:8000/v1/completions,thunderbolt0/thunderbolt0,rxe_tb,,/tmp/usb4-rdma-vllm-matrix/full-tb-paired-20260502T153121Z/tb_rxe-allenai_Olmo-3-7B-Instruct.log,
